,x
1,0
2,0
3,0
4,0
5,2
6,0
7,0
8,0
9,2
10,0
11,0
12,0
13,1
14,2
15,0
16,0
17,0
18,0
19,0
20,2
22,0
23,0
24,2
25,2
26,0
27,1
29,2
30,1
31,1
32,2
33,1
35,0
36,0
37,0
38,2
39,1
40,0
41,2
42,1
43,2
44,2
45,2
46,2
47,2
49,2
50,2
51,1
52,2
53,1
54,2
55,2
56,2
57,1
58,2
59,2
61,2
62,1
63,2
64,1
65,1
66,0
67,2
68,1
70,2
71,2
72,1
73,2
74,1
75,1
76,0
77,2
78,1
79,1
82,1
84,0
85,2
86,1
87,1
88,0
89,1
90,1
91,2
92,1
93,1
96,1
97,1
98,2
99,2
100,2
101,1
102,1
104,2
105,1
106,1
107,1
108,1
109,1
110,0
111,1
112,2
113,2
114,1
115,1
116,1
117,2
118,1
119,1
120,1
121,0
122,1
123,1
124,0
125,1
126,1
127,0
128,2
129,1
130,1
131,2
132,0
133,0
134,0
136,2
137,2
138,0
139,2
140,0
141,0
142,0
143,0
144,0
